Instance,Income
111994,17058.557
111995,19363.87
111996,50766.2
111997,134232.84
111998,36261.17
111999,69823.48
112000,137720.75
112001,82493.984
112002,34483.89
112003,167632.5
112004,10213.899
112005,124303.766
112006,41391.723
112007,91037.24
112008,272557.8
112009,52482.93
112010,51986.12
112011,26114.002
112012,15224.701
112013,16816.768
112014,69070.64
112015,50355.035
112016,48801.973
112017,26305.65
112018,102722.76
112019,57859.477
112020,35802.973
112021,28773.814
112022,105242.26
112023,53202.215
112024,23512.535
112025,86732.79
112026,42429.246
112027,57500.215
112028,64782.11
112029,51208.746
112030,107107.98
112031,159260.67
112032,197669.53
112033,105742.07
112034,189703.53
112035,83406.805
112036,151110.98
112037,115141.41
112038,175205.56
112039,47230.28
112040,63131.137
112041,79758.09
112042,43131.844
112043,83166.375
112044,53118.715
112045,12921.378
112046,190213.86
112047,44632.36
112048,22695.875
112049,48055.527
112050,58697.77
112051,113789.54
112052,126764.766
112053,273206.6
112054,69958.586
112055,23528.482
112056,120998.51
112057,31906.395
112058,16479.926
112059,59243.18
112060,169375.73
112061,114435.97
112062,95464.875
112063,65497.324
112064,27093.643
112065,42026.562
112066,1353.8956
112067,164131.69
112068,27228.523
112069,141169.31
112070,490076.0
112071,42661.95
112072,68258.31
112073,40877.85
112074,26262.809
112075,9620.797
112076,115710.734
112077,655798.9
112078,8550.448
112079,104590.09
112080,136501.94
112081,733029.0
112082,37209.254
112083,42083.156
112084,11858.982
112085,42332.566
112086,24725.271
112087,160655.12
112088,166445.86
112089,82151.76
112090,141591.33
112091,39222.977
112092,23698.287
112093,69070.64
112094,40543.566
112095,71139.35
112096,114333.65
112097,18555.494
112098,35959.906
112099,26388.848
112100,46029.812
112101,153627.0
112102,42711.41
112103,149815.39
112104,60942.418
112105,39131.664
112106,107899.26
112107,128470.22
112108,40792.484
112109,36981.246
112110,43700.75
112111,25707.557
112112,92937.695
112113,75283.73
112114,70505.875
112115,17760.121
112116,36597.305
112117,70941.52
112118,27558.012
112119,41115.1
112120,190239.8
112121,153791.77
112122,345218.6
112123,191571.03
112124,35989.96
112125,145276.81
112126,116485.555
112127,24468.29
112128,49190.465
112129,114675.445
112130,102667.33
112131,2922.8838
112132,68737.61
112133,226341.03
112134,17659.742
112135,23322.787
112136,47503.535
112137,12203.456
112138,51208.746
112139,55758.68
112140,53175.125
112141,45345.35
112142,41352.383
112143,117830.45
112144,41283.777
112145,20673.12
112146,38560.363
112147,140375.61
112148,56472.156
112149,54849.516
112150,13438.082
112151,281387.9
112152,69263.85
112153,71543.766
112154,17278.408
112155,97847.03
112156,64313.04
112157,137560.88
112158,38965.234
112159,349776.25
112160,58001.848
112161,102667.33
112162,116321.15
112163,11199.314
112164,22712.68
112165,125590.445
112166,39043.688
112167,19844.336
112168,40284.94
112169,227144.36
112170,161306.36
112171,35571.297
112172,21726.29
112173,55940.52
112174,41677.598
112175,35571.297
112176,27716.951
112177,128585.93
112178,14461.167
112179,27336.896
112180,27324.646
112181,11542.789
112182,158905.97
112183,106028.25
112184,23054.707
112185,211001.33
112186,7695.696
112187,85152.195
112188,176472.83
112189,33125.59
112190,33556.215
112191,87900.336
112192,399719.34
112193,45935.266
112194,213893.9
112195,37103.797
112196,33777.99
112197,227942.27
112198,44612.7
112199,35521.395
112200,68428.69
112201,239369.75
112202,120274.28
112203,33644.82
112204,41476.363
112205,10561.952
112206,73738.22
112207,189927.1
112208,58298.266
112209,259563.78
112210,60096.305
112211,216294.53
112212,62587.11
112213,28928.451
112214,189241.12
112215,36059.98
112216,114752.35
112217,57570.777
112218,42528.703
112219,282974.56
112220,17906.117
112221,10755.834
112222,25953.262
112223,47425.766
112224,95670.85
112225,12288.425
112226,38060.26
112227,52839.457
112228,136462.11
112229,44841.72
112230,195137.38
112231,19339.986
112232,62154.613
112233,19777.375
112234,42044.363
112235,50692.42
112236,42814.02
112237,151683.61
112238,31468.088
112239,15241.177
112240,16816.768
112241,18972.482
112242,48233.125
112243,72654.22
112244,142667.97
112245,80941.14
112246,38778.91
112247,358355.9
112248,72145.414
112249,17049.025
112250,78396.96
112251,58507.582
112252,60666.797
112253,16625.434
112254,246716.55
112255,45812.984
112256,42161.37
112257,41246.195
112258,367986.94
112259,131549.44
112260,124160.17
112261,403025.78
112262,94522.61
112263,25466.412
112264,93667.875
112265,18382.943
112266,36364.652
112267,42154.574
112268,36462.723
112269,318215.25
112270,30982.54
112271,91273.7
112272,61842.6
112273,97665.89
112274,6091.677
112275,224733.23
112276,274353.1
112277,58531.188
112278,35466.254
112279,24041.21
112280,114435.97
112281,95003.22
112282,247520.89
112283,121259.81
112284,49142.777
112285,47029.23
112286,27451.564
112287,26650.008
112288,66933.15
112289,227144.36
112290,135973.92
112291,53592.19
112292,527034.94
112293,25662.875
112294,290814.22
112295,35106.176
112296,199993.12
112297,52380.77
112298,54639.375
112299,38778.246
112300,13095.866
112301,23891.453
112302,10427.148
112303,51656.676
112304,95464.875
112305,28304.613
112306,48251.344
112307,45304.934
112308,167632.5
112309,45920.414
112310,31404.408
112311,88283.26
112312,34474.32
112313,114078.56
112314,65537.0
112315,114853.516
112316,39356.824
112317,23571.336
112318,21995.531
112319,24779.047
112320,521435.56
112321,110907.08
112322,24003.775
112323,98306.01
112324,359848.38
112325,178265.5
112326,114853.516
112327,101222.04
112328,124556.65
112329,67725.76
112330,335952.7
112331,195243.67
112332,190566.83
112333,197430.08
112334,97552.14
112335,55660.285
112336,34258.824
112337,194507.33
112338,243648.33
112339,300474.66
112340,30173.475
112341,149833.11
112342,5334.0225
112343,30589.578
112344,25224.738
112345,29320.31
112346,57013.355
112347,18963.402
112348,31398.807
112349,27323.838
112350,102342.875
112351,41920.766
112352,37839.63
112353,6975.5537
112354,154065.84
112355,38180.27
112356,90453.69
112357,69721.94
112358,79623.04
112359,57334.08
112360,20916.78
112361,115464.25
112362,56732.887
112363,48055.527
112364,9326.393
112365,11318.67
112366,12129.089
112367,25460.852
112368,63646.133
112369,100674.15
112370,18753.295
112371,211001.33
112372,105138.63
112373,79034.15
112374,9361.078
112375,33990.688
112376,139540.06
112377,102667.33
112378,48055.527
112379,105022.484
112380,94896.28
112381,85322.33
112382,91437.93
112383,17796.186
112384,195839.11
112385,8739.375
112386,172783.45
112387,48286.42
112388,41523.266
112389,35106.176
112390,12295.095
112391,24552.113
112392,125289.58
112393,72283.29
112394,52105.844
112395,10697.877
112396,72080.42
112397,48041.184
112398,393597.34
112399,69993.95
112400,110461.516
112401,138569.98
112402,737542.06
112403,124556.65
112404,131937.17
112405,51180.527
112406,18683.154
112407,10515.625
112408,14887.013
112409,51313.465
112410,21761.73
112411,86483.92
112412,84577.64
112413,26252.893
112414,65723.9
112415,141591.33
112416,78396.96
112417,121694.484
112418,76802.93
112419,173599.88
112420,37071.47
112421,135749.38
112422,88467.836
112423,45858.008
112424,2378.5276
112425,24471.346
112426,69475.81
112427,160404.66
112428,215861.98
112429,8175.0977
112430,5882.7734
112431,195137.38
112432,28025.848
112433,67472.98
112434,28242.863
112435,85239.78
112436,28285.21
112437,88850.35
112438,102667.33
112439,4191.6104
112440,232467.98
112441,50369.207
112442,354713.3
112443,49977.984
112444,22032.734
112445,68955.0
112446,261937.84
112447,521546.47
112448,66563.555
112449,108921.77
112450,40763.086
112451,103683.164
112452,10446.889
112453,35503.277
112454,71313.93
112455,486235.3
112456,54047.67
112457,156482.78
112458,169113.62
112459,48801.973
112460,63228.266
112461,273706.53
112462,48338.44
112463,42595.72
112464,83137.195
112465,105119.984
112466,187837.22
112467,50243.7
112468,29687.168
112469,76843.586
112470,27091.447
112471,35291.24
112472,209875.66
112473,61338.22
112474,9314.916
112475,75022.266
112476,100674.15
112477,45374.38
112478,47119.83
112479,8885.563
112480,44181.035
112481,116708.4
112482,40177.742
112483,286513.16
112484,42279.63
112485,68463.55
112486,19162.334
112487,19888.502
112488,147851.69
112489,49711.21
112490,163509.58
112491,74139.875
112492,56168.47
112493,214852.75
112494,14622.812
112495,9511.92
112496,25878.643
112497,227144.36
112498,11427.117
112499,62499.848
112500,6862.6187
112501,57387.633
112502,96950.21
112503,79898.86
112504,55762.562
112505,20813.56
112506,64775.004
112507,72243.25
112508,86805.27
112509,14805.003
112510,57789.22
112511,94292.03
112512,13404.033
112513,55265.164
112514,39600.42
112515,76330.05
112516,120917.07
112517,3184.958
112518,80168.375
112519,16699.201
112520,18112.812
112521,129047.59
112522,53522.01
112523,17798.697
112524,71347.805
112525,11311.677
112526,3394.6191
112527,33105.44
112528,40167.855
112529,21959.564
112530,140635.97
112531,95464.875
112532,171980.86
112533,151110.98
112534,223504.03
112535,42847.84
112536,113510.336
112537,45651.22
112538,13134.756
112539,143034.03
112540,34271.83
112541,80436.26
112542,205789.2
112543,98997.79
112544,207117.81
112545,41198.586
112546,26823.248
112547,60760.773
112548,253414.88
112549,96472.82
112550,124111.05
112551,3146.0723
112552,185692.39
112553,35527.832
112554,81124.91
112555,21896.553
112556,124092.46
112557,54449.92
112558,93265.24
112559,38914.69
112560,29079.148
112561,165798.38
112562,23319.451
112563,185692.39
112564,517631.38
112565,93020.336
112566,44699.023
112567,23996.52
112568,17216.379
112569,147245.06
112570,30595.209
112571,150257.81
112572,101374.96
112573,27990.215
112574,42709.78
112575,106782.93
112576,57552.113
112577,235888.9
112578,219287.06
112579,105742.07
112580,81121.51
112581,31995.342
112582,17644.473
112583,11628.059
112584,140375.2
112585,39793.844
112586,21523.658
112587,100258.13
112588,71145.32
112589,232114.86
112590,6690.8984
112591,64447.684
112592,32783.863
112593,21729.232
112594,31880.268
112595,56370.027
112596,87880.13
112597,41810.605
112598,51674.76
112599,6996.2295
112600,22536.5
112601,208023.84
112602,26099.387
112603,92687.555
112604,112442.6
112605,17278.375
112606,54109.2
112607,25725.656
112608,69070.64
112609,124556.65
112610,63155.766
112611,115397.875
112612,186487.45
112613,92682.164
112614,153791.77
112615,85152.195
112616,41573.47
112617,63228.266
112618,317599.5
112619,35066.59
112620,26998.078
112621,25336.562
112622,87389.96
112623,91132.445
112624,36094.28
112625,36382.62
112626,126764.766
112627,49365.805
112628,51300.008
112629,53420.938
112630,41187.863
112631,87714.18
112632,118735.59
112633,147224.0
112634,36900.25
112635,53265.37
112636,75931.305
112637,181425.4
112638,24525.48
112639,39019.008
112640,36620.836
112641,26409.342
112642,321327.62
112643,42326.914
112644,64447.684
112645,78632.305
112646,23140.816
112647,23896.17
112648,56736.188
112649,29688.527
112650,29171.953
112651,60760.773
112652,21227.168
112653,27331.996
112654,51438.355
112655,40188.547
112656,11566.041
112657,248687.86
112658,211193.39
112659,87611.93
112660,52388.215
112661,159359.6
112662,57389.99
112663,164181.8
112664,317528.9
112665,267667.4
112666,105640.164
112667,29020.885
112668,45023.54
112669,107247.7
112670,5673.1377
112671,191521.17
112672,67266.61
