Instance,Income
111994,33756.763704900004
111995,20748.145368999998
111996,42090.216144
111997,167938.98653
111998,21239.174439799997
111999,71618.775677
112000,97436.56049100001
112001,43880.013211
112002,24684.388328000005
112003,116448.15527999999
112004,13190.63135425
112005,141786.170992
112006,24114.554738
112007,81610.77967300001
112008,298580.01621
112009,36297.136457
112010,67606.637778
112011,30903.701104
112012,26290.006625700003
112013,32142.634411500003
112014,136094.57973
112015,40910.668395
112016,52758.663989700006
112017,18505.984017230003
112018,185023.46468000003
112019,63758.320912999996
112020,17339.098327000003
112021,19730.9927674
112022,99941.703278
112023,41001.880551
112024,11111.949226499997
112025,76641.83173499999
112026,46861.828610000004
112027,61239.94924
112028,30720.438994999997
112029,50774.12664000001
112030,175715.39805000002
112031,281357.51554
112032,230238.83964
112033,103604.12531
112034,19054.854429599996
112035,71596.25118399998
112036,219655.07727
112037,102629.91172799999
112038,185957.90418999997
112039,39339.051731
112040,56091.451426
112041,50273.253216
112042,27451.6671747
112043,53104.736274999996
112044,29756.53753099999
112045,34268.654249900006
112046,301916.01342999993
112047,30066.7710081
112048,10615.3467027
112049,129070.06256300001
112050,35089.558935999994
112051,44018.856486000004
112052,122787.930814
112053,203033.55988000002
112054,68665.756767
112055,26916.891771300005
112056,82876.19094799999
112057,48980.25018900001
112058,100519.46225100002
112059,39714.08630099999
112060,321237.18567000004
112061,179258.22614
112062,163406.055
112063,66654.47514200001
112064,26017.963678
112065,62835.242285
112066,16896.8234978
112067,111784.571592
112068,67341.726745
112069,264802.99164
112070,345183.92314999993
112071,72586.51224699998
112072,100381.382899
112073,35431.989723
112074,20985.9303718
112075,23034.391675
112076,92138.850555
112077,53360.106314
112078,22693.658506800002
112079,186877.67112
112080,73845.83974
112081,30918.898238000005
112082,25928.838934000003
112083,25993.243327
112084,27760.126148000003
112085,36491.088390000004
112086,27392.654325500003
112087,37487.81291
112088,97007.527443
112089,102444.934817
112090,200028.63538000002
112091,26909.4103924
112092,19212.210880099996
112093,86672.75104999999
112094,17687.7913243
112095,31413.243456999997
112096,132770.936552
112097,21261.921902299997
112098,27405.030217400003
112099,30750.2396603
112100,32681.039284000006
112101,188905.322
112102,14303.6470783
112103,191067.18658599997
112104,64425.806601
112105,35274.477547
112106,111428.78506399998
112107,88885.37933299999
112108,78399.75276999999
112109,18309.9983062
112110,50027.517181999996
112111,27982.831587
112112,65616.229071
112113,56936.705818
112114,40792.907975
112115,25748.690025
112116,51774.688233999994
112117,64622.950966
